word,category,cids
moon,Moon,1.1.1.1
lunar,Moon,1.1.1.1
satellite,Moon,1.1.1.1
rise,Moon,1.1.1.1
set,Moon,1.1.1.1
sink,Moon,1.1.1.1
moonrise,Moon,1.1.1.1
rising of the moon,Moon,1.1.1.1
moonset,Moon,1.1.1.1
setting of the moon,Moon,1.1.1.1
moon is shining,Moon,1.1.1.1
by the light of the moon,Moon,1.1.1.1
moon is/comes out,Moon,1.1.1.1
moonlit,Moon,1.1.1.1
be in the moonlight,Moon,1.1.1.1
lit by the moon,Moon,1.1.1.1
shine on,Moon,1.1.1.1
moonless night,Moon,1.1.1.1
eclipse of the moon,Moon,1.1.1.1
eclipse (v),Moon,1.1.1.1
moonlight,Moon,1.1.1.1
moonbeam,Moon,1.1.1.1
moonshine,Moon,1.1.1.1
bright,Moon,1.1.1.1
pale,Moon,1.1.1.1
man in the moon,Moon,1.1.1.1
harvest moon,Moon,1.1.1.1
lunar sea,Moon,1.1.1.1
crater,Moon,1.1.1.1
phase,Moon,1.1.1.1
new moon,Moon,1.1.1.1
full moon,Moon,1.1.1.1
half moon,Moon,1.1.1.1
quarter moon,Moon,1.1.1.1
crescent,Moon,1.1.1.1
sliver,Moon,1.1.1.1
moon is waxing (getting bigger),Moon,1.1.1.1
moon is waning (getting smaller),Moon,1.1.1.1
wax and wane,Moon,1.1.1.1
(lunar) month,Moon,1.1.1.1
star,Star,1.1.1.2
starry,Star,1.1.1.2
stellar,Star,1.1.1.2
starlit (sky),Star,1.1.1.2
(sky is) ablaze with stars,Star,1.1.1.2
starry (sky),Star,1.1.1.2
star studded (sky),Star,1.1.1.2
stars are shining,Star,1.1.1.2
starlit,Star,1.1.1.2
lit by the stars,Star,1.1.1.2
starless (sky,Star,1.1.1.2
night),Star,1.1.1.2
starlight,Star,1.1.1.2
bright,Star,1.1.1.2
brilliant,Star,1.1.1.2
dim,Star,1.1.1.2
luminous,Star,1.1.1.2
twinkle,Star,1.1.1.2
wink,Star,1.1.1.2
glittering,Star,1.1.1.2
star shaped,Star,1.1.1.2
astronomy,Star,1.1.1.2
astronomer,Star,1.1.1.2
astrology,Star,1.1.1.2
astrologer,Star,1.1.1.2
stargazer,Star,1.1.1.2
magi,Star,1.1.1.2
constellation,Star,1.1.1.2
galaxy,Star,1.1.1.2
nebula,Star,1.1.1.2
planet,Planet,1.1.1.3
planetary,Planet,1.1.1.3
wandering star,Planet,1.1.1.3
Mercury,Planet,1.1.1.3
Venus (Morning Star,Planet,1.1.1.3
Evening Star),Planet,1.1.1.3
Earth,Planet,1.1.1.3
Mars,Planet,1.1.1.3
Jupiter,Planet,1.1.1.3
Saturn,Planet,1.1.1.3
Uranus,Planet,1.1.1.3
Neptune,Planet,1.1.1.3
Pluto,Planet,1.1.1.3
revolve (around the sun),Planet,1.1.1.3
orbit,Planet,1.1.1.3
solar system,Planet,1.1.1.3
comet,Planet,1.1.1.3
tail,Planet,1.1.1.3
head,Planet,1.1.1.3
appear,Planet,1.1.1.3
point,Planet,1.1.1.3
fade,Planet,1.1.1.3
meteor,Planet,1.1.1.3
shooting star,Planet,1.1.1.3
falling star,Planet,1.1.1.3
meteor trail,Planet,1.1.1.3
meteor shower,Planet,1.1.1.3
flash across the sky,Planet,1.1.1.3
blaze a trail across the sky,Planet,1.1.1.3
strike the earth,Planet,1.1.1.3
make a crater,Planet,1.1.1.3
burn up,Planet,1.1.1.3
meteorite,Planet,1.1.1.3
meteor crater,Planet,1.1.1.3
asteroid,Planet,1.1.1.3
moon,Planet,1.1.1.3
sun,Sun,1.1.1
solar,Sun,1.1.1
sol,Sun,1.1.1
daystar,Sun,1.1.1
our star,Sun,1.1.1
rise,Sun,1.1.1
set,Sun,1.1.1
cross the sky,Sun,1.1.1
come up,Sun,1.1.1
go down,Sun,1.1.1
sink,Sun,1.1.1
dawn,Sun,1.1.1
sunrise,Sun,1.1.1
sunup,Sun,1.1.1
daybreak,Sun,1.1.1
cockcrow,Sun,1.1.1
noon,Sun,1.1.1
zenith,Sun,1.1.1
sunset,Sun,1.1.1
dusk,Sun,1.1.1
sundown,Sun,1.1.1
twilight,Sun,1.1.1
eventide,Sun,1.1.1
shine,Sun,1.1.1
sunny,Sun,1.1.1
bright,Sun,1.1.1
give light,Sun,1.1.1
be sunshiny,Sun,1.1.1
daytime,Sun,1.1.1
come out,Sun,1.1.1
break through (the clouds),Sun,1.1.1
go behind (a cloud),Sun,1.1.1
sunlit,Sun,1.1.1
be (out) in the sun,Sun,1.1.1
lit by the sun,Sun,1.1.1
shine on,Sun,1.1.1
be in the sunlight,Sun,1.1.1
sunny (spot),Sun,1.1.1
shade,Sun,1.1.1
eclipse of the sun,Sun,1.1.1
sunless,Sun,1.1.1
shady,Sun,1.1.1
shadow,Sun,1.1.1
eclipse (v),Sun,1.1.1
sunlight,Sun,1.1.1
ray,Sun,1.1.1
sunshine,Sun,1.1.1
beam,Sun,1.1.1
light,Sun,1.1.1
sunbeam,Sun,1.1.1
radiance,Sun,1.1.1
glow,Sun,1.1.1
sparkle,Sun,1.1.1
glisten,Sun,1.1.1
glare,Sun,1.1.1
bright,Sun,1.1.1
intense,Sun,1.1.1
brilliant,Sun,1.1.1
blinding,Sun,1.1.1
glaring,Sun,1.1.1
glistening,Sun,1.1.1
luminous,Sun,1.1.1
dim,Sun,1.1.1
warm,Sun,1.1.1
heat,Sun,1.1.1
dry,Sun,1.1.1
looks down on,Sun,1.1.1
sunburn,Sun,1.1.1
sunstroke,Sun,1.1.1
suntan,Sun,1.1.1
tan,Sun,1.1.1
heatstroke,Sun,1.1.1
heat prostration,Sun,1.1.1
sun damage,Sun,1.1.1
fading from the sun,Sun,1.1.1
bleached by the sun,Sun,1.1.1
sunglasses,Sun,1.1.1
shade tree,Sun,1.1.1
suntan lotion,Sun,1.1.1
awning,Sun,1.1.1
sun umbrella,Sun,1.1.1
parasol,Sun,1.1.1
sunbonnet,Sun,1.1.1
hat,Sun,1.1.1
visor,Sun,1.1.1
sundial,Sun,1.1.1
angle of the sun,Sun,1.1.1
sun-clock,Sun,1.1.1
shoot the sun,Sun,1.1.1
position of the sun,Sun,1.1.1
solar energy,Sun,1.1.1
solar power,Sun,1.1.1
solar panel,Sun,1.1.1
blow,Blow air,1.1.2.1
fan,Blow air,1.1.2.1
exhaust,Blow air,1.1.2.1
expel,Blow air,1.1.2.1
explode,Blow air,1.1.2.1
air out,Blow air,1.1.2.1
ventilate,Blow air,1.1.2.1
blow up,Blow air,1.1.2.1
inflate,Blow air,1.1.2.1
pump up,Blow air,1.1.2.1
pneumatic,Blow air,1.1.2.1
seal,Blow air,1.1.2.1
airtight,Blow air,1.1.2.1
air pressure,Blow air,1.1.2.1
vacuum,Blow air,1.1.2.1
winnow,Blow air,1.1.2.1
fan,Blow air,1.1.2.1
